k, T, P_m
6.606934480075964400e-01,9.222563336228372863e-03,7.761828308866499810e+02
6.760829753919819218e-01,8.890588424114382118e-03,7.375148180418956372e+02
6.918309709189363055e-01,8.570042862960822530e-03,7.006880763792695461e+02
7.079457843841380216e-01,8.260559247403239172e-03,6.656204247926623339e+02
7.244359600749898931e-01,7.961780586314104805e-03,6.322329832443090254e+02
7.413102413009177161e-01,7.673360087430006540e-03,6.004500656715994182e+02
7.585775750291835484e-01,7.394960941530959869e-03,5.701990744938815396e+02
7.762471166286919466e-01,7.126256106546003007e-03,5.414103968535314380e+02
7.943282347242813790e-01,6.866928091936422458e-03,5.140173027093078417e+02
8.128305161640995147e-01,6.616668743684089166e-03,4.879558448845555176e+02
8.317637711026708569e-01,6.375179030190822847e-03,4.631647611585132154e+02
8.511380382023767677e-01,6.142168829372415297e-03,4.395853784754736466e+02
8.709635899560804750e-01,5.917356717210767690e-03,4.171615193340859946e+02
8.912509381337458958e-01,5.700469758006706557e-03,3.958394104073611857e+02
9.120108393559096527e-01,5.491243296557478913e-03,3.755675934332438715e+02
9.332543007969914539e-01,5.289420752463593577e-03,3.562968384055555475e+02
9.549925860214358853e-01,5.094753416752498439e-03,3.379800590859995282e+02
9.772372209558111145e-01,4.907000250988943942e-03,3.205722308494113690e+02
1.000000000000000000e+00,4.725927689026169012e-03,3.040303108667796437e+02
1.023292992280753655e+00,4.551309441535945736e-03,2.883131606234524043e+02
1.047128548050900720e+00,4.382926303441276109e-03,2.733814707635960985e+02
1.071519305237607078e+00,4.220565964361202779e-03,2.591976882461491982e+02
1.096478196143185091e+00,4.064022822163795845e-03,2.457259457922869785e+02
1.122018454301962898e+00,3.913097799711288440e-03,2.329319935997753532e+02
1.148153621496884158e+00,3.767598164868888547e-03,2.207831332953783772e+02
1.174897554939530409e+00,3.627337353838056087e-03,2.092481540928206130e+02
1.202264434617413169e+00,3.492134797864079095e-03,1.982972711205293308e+02
1.230268770812381174e+00,3.361815753358450912e-03,1.879020658805879407e+02
1.258925411794166171e+00,3.236211135466796757e-03,1.780354287978465777e+02
1.288249551693134931e+00,3.115157355104702930e-03,1.686715038160650408e+02
1.318256738556407459e+00,2.998496159475825141e-03,1.597856349962175955e+02
1.348962882591653312e+00,2.886074476078838869e-03,1.513543150706097151e+02
1.380384264602883881e+00,2.777744260203274251e-03,1.433551359053246017e+02
1.412537544622755492e+00,2.673362345907496097e-03,1.357667408225830741e+02
1.445439770745927888e+00,2.572790300466369813e-03,1.285687787339449812e+02
1.479108388168207222e+00,2.475894282270502730e-03,1.217418600348111823e+02
1.513561248436207096e+00,2.382544902154230121e-03,1.152675142104510115e+02
1.548816618912482790e+00,2.292617088124650638e-03,1.091281491036799736e+02
1.584893192461114042e+00,2.205989953460064153e-03,1.033070117944097177e+02
1.621810097358929781e+00,2.122546668142189907e-03,9.778815104151080106e+01
1.659586907437559766e+00,2.042174333583438115e-03,9.255638123780546778e+01
1.698243652461745912e+00,1.964763860607109894e-03,8.759724782946163657e+01
1.737800828749376247e+00,1.890209850635936155e-03,8.289699415165358687e+01
1.778279410038922759e+00,1.818410480041752347e-03,7.844252963301399006e+01
1.819700858609982541e+00,1.749267387607169547e-03,7.422139932215910108e+01
1.862087136662869513e+00,1.682685565048064932e-03,7.022175469037740925e+01
1.905460717963248340e+00,1.618573250544244960e-03,6.643232566545451334e+01
1.949844599758045582e+00,1.556841825224140538e-03,6.284239385252786292e+01
1.995262314968878847e+00,1.497405712548433281e-03,5.944176689884100284e+01
2.041737944669531846e+00,1.440182280536392214e-03,5.622075396026290406e+01
2.089296130854040978e+00,1.385091746778090724e-03,5.317014222847253535e+01
2.137962089502232654e+00,1.332057086174992262e-03,5.028117447875762736e+01
2.187761623949551648e+00,1.281003941351149767e-03,4.754552759945012497e+01
