T,dP_dT
2.9210864705640085,1.0518703775859688
2.989186387962046,1.0480898317693106
3.0588739333869683,1.044047239361109
3.130186119552564,1.0398082308748378
3.203160822057984,1.0354386322746219
3.2778367995043696,1.0310022789051705
3.3542537140804716,1.026558772267889
3.43245215262818,1.0221611825120203
3.512473648199163,1.0178536997141723
3.594360702114059,1.013669237224096
3.6781568065359385,1.0096269905583128
3.763906467570028,1.0057299555254553
3.8516552289019614,1.001962409467116
3.941449695987114,0.9983076660619673
4.033337560803871,0.9947706029301431
4.127367627183972,0.9913563892539261
4.223589836733384,0.9880700605034209
4.322055295357484,0.9849165238982132
4.422816300404612,0.9819005641539503
4.525926368442446,0.9790268494988055
4.6314402636819185,0.9762999379455027
4.739414027063797,0.9737242838053178
4.849905006023358,0.9713042444312724
4.962971884948977,0.96904408717856
5.078674716350799,0.9669479965711053
5.197074952756061,0.9650200816640443
5.318235479347992,0.9632643835928429
5.442220647365625,0.9616848833007059
5.569096308282276,0.9602855094369039
5.6989298487808275,0.9590701464196364
5.831790226544397,0.958042642658057
5.9677480068814095,0.9572068189291212
6.106875400204504,0.9565664769059625
6.249246300383209,0.9561254078355684
6.394936323990734,0.9558874013646088
6.544022850465726,0.9558562545133669
6.696585063210336,0.9560357807988333
6.852703991646408,0.9564298195091592
7.012462554252129,0.957042245132799
7.175945602602012,0.9578769769468521
7.343239966433582,0.9589379887702759
7.514434499764717,0.9602293188888575
7.689620128086134,0.9617550801600506
7.868889896654076,0.9635194703070212
8.052339019908866,0.9655267824125306
8.240064932045563,0.9677814156245705
8.432167338763575,0.9702878860870007
8.628748270222738,0.9730508381098042
8.829912135233958,0.9760750555949723
9.035765776713205,0.9793654737354743
9.246418528428348,0.9829271910062596
9.46198227306891,0.9867654814677693
9.682571501669623,0.990885807404037
9.908303374419349,0.9952938323191006
10.139297782887638,0.9999954343171811
10.375677413702004,1.0049967198938572
10.6175678137097,1.0103040381673578
10.865097456658642,1.0159239955810337
11.118397811432878,1.0218634711101309
11.377603411878837,1.0281311667221742
11.64285192825945,1.034735356778627
11.914284240374116,1.041683459268592
12.192044512383305,1.0489828921811584
12.476280269377582,1.056641073505416
12.76714247573169,1.0646654212304545
13.064785615285324,1.0730633533453635
13.369367773393165,1.0818422878392324
13.681050720887791,1.0910096427011513
13.999999999999996,1.1005728359202092
